"Region" "C1" "C2" "C3" "C4" "C5" "C6"
"53" "A" 81729 86721 50820 67346 78580 77395
"54" "A" 77529 92472 57540 69485 85074 68651
"55" "A" 86410 92281 49233 62852 76680 81396
"56" "B" 80364 79655 54163 68822 81329 87664
"57" "B" 86733 87522 54238 59352 86698 78683
"58" "B" 83231 86053 44676 54956 87580 83044
"59" "B" 86016 96937 63369 65386 84900 83036
"60" "B" 89889 90481 50132 61222 73405 83024
"61" "B" 69038 94070 52822 59850 82153 87061
"62" "B" 85392 90340 53137 55184 81056 85390
"63" "B" 77885 87156 50162 61958 83644 83271
"64" "B" 81180 96318 59813 67557 78384 84822
"65" "B" 87774 87217 45353 63724 73475 79944
"66" "B" 88620 90578 61458 63533 82449 79378
"67" "B" 89965 87725 52424 66326 88372 93478
"68" "B" 78985 85546 53919 60122 81167 82522
"69" "B" 89209 84012 54059 65263 88624 80139
"70" "B" 79460 90118 61089 60744 75850 92546
"71" "B" 89175 83948 55675 53203 85849 92062
"72" "B" 73814 83602 52794 58594 72834 86505
"73" "B" 74341 87375 58965 61009 87460 83871
"74" "B" 78762 90732 53831 70863 82909 88264
"75" "B" 83026 72460 49169 59879 84184 72286
"76" "B" 86808 84478 52236 54222 75731 84282
"77" "B" 84547 77011 50978 64679 80735 94827
"78" "B" 88229 90477 56024 63397 79470 87140
"79" "B" 89401 92917 51934 53906 82452 86204
"80" "B" 88755 80907 57822 63167 88970 83860
"81" "B" 80214 81766 53413 60189 94753 96233
"82" "B" 81166 82282 46135 64573 77547 95423
"83" "B" 77572 88056 75051 56455 84538 78466
"84" "B" 83738 83134 56387 60516 77084 84056
"85" "B" 86958 95470 49136 60752 88797 78429
"86" "B" 69357 82820 51164 62237 80981 85157
"87" "B" 79888 89371 54170 67951 79313 85453
"88" "B" 77576 88540 55761 53577 82279 89901
"89" "B" 85407 88216 50038 67846 83396 81741
"90" "B" 90210 83652 57517 68409 86011 82465
"91" "B" 79908 89276 58567 62093 89592 83671
"92" "B" 78499 90187 44991 63960 85485 82876
"93" "B" 76414 85525 63749 58282 71341 88061
"94" "B" 79493 84946 49923 61887 86506 81063
"95" "B" 78966 92983 54762 61200 79871 88502
"96" "B" 77029 91746 60029 59662 87242 88934
"97" "B" 84878 97624 46188 56175 76117 84838
"98" "B" 89923 95889 58441 66393 82276 86345
"99" "B" 83881 83695 54534 61326 89969 78815
"100" "B" 71428 91341 51919 59819 87524 80185
"101" "B" 80295 95012 58642 64711 82317 78316
"102" "B" 74517 86383 66009 63109 83822 85663
"103" "B" 80074 80506 69379 59882 81507 75038
"104" "B" 80760 86263 54722 53065 91923 92818
"105" "B" 85448 81996 59573 60768 81401 90813
"106" "B" 75861 84944 52344 62099 75136 80483
"107" "B" 85580 89826 51130 64796 70837 82298
"108" "B" 85565 84205 55818 54034 87239 74748
"109" "B" 80382 86224 56305 57883 92149 76850
"110" "B" 83271 72801 56012 64548 77576 87524
"111" "B" 83655 92382 51783 57147 74142 82388
"112" "B" 75306 90941 56356 72949 77211 89908
